"Date","Reference","Ticker","Type","Quantity","Price/share","Gross Amount","CCY","FX Rate","Fee","Net Amt.","Tax Amt."
"06/04/2022 18:52:50","FZ4V44UFWR","SHOP","Buy","0.005280830","655.20000","3.46","USD","","","3.46",""
"06/04/2022 18:52:37","UWKNXG7WJR","PLTR","Buy","0.230503265","13.01500","3.00","USD","","","3.00",""
"06/04/2022 18:52:09","25VWH4MHYW","USD","Conversion","","","135.70","USD","0.91793","","135.70",""
"06/04/2022 18:52:09","25VWH4MHYW","EUR","Conversion","","","-124.57","EUR","1.08940","0.00","-124.57",""
"06/04/2022 18:52:08","Q2LZX8NH4M","AOS","Buy","2.000000000","64.62000","129.24","USD","","","129.24",""
"06/04/2022 18:22:25","Q3C73FSCM8","MSFT","Buy","0.070079865","297.37500","20.84","USD","","","20.84",""
"06/04/2022 18:20:24","HA3S57KW5M","ABT","Buy","1.000000000","119.05990","119.06","USD","","","119.06",""
"06/04/2022 18:19:51","C2H3WNQ5MA","ABT","Buy","0.074773347","118.99500","8.90","USD","","","8.90",""
"06/04/2022 18:16:50","5CMSUFW2YK","GIS","Sell","1.222644287","69.51010","84.99","USD","","","84.99",""
"06/04/2022 18:14:19","AR87RQ6X54","TRV","Sell","0.350387575","182.11500","63.81","USD","","","63.81",""
"06/04/2022 18:10:28","8KRQMZZL2M","BLK","Buy","0.084544717","740.20000","62.58","USD","","","62.58",""
"06/04/2022 18:10:04","XYFZRCE86G","MDLZ","Sell","0.989857410","63.22500","62.58","USD","","","62.58",""
"06/04/2022 14:20:26","YGR4CUKZWC","ABT","Buy","0.018209408","118.62000","2.16","USD","","","2.16",""
"06/04/2022 14:09:57","ZNYJ5CU5HZ","USD","Conversion","","","45.35","USD","0.91633","","45.35",""
"06/04/2022 14:09:57","ZNYJ5CU5HZ","EUR","Conversion","","","-41.56","EUR","1.09130","0.00","-41.56",""
"06/04/2022 14:09:56","REMRKHUQ5Y","WBA","Buy","1.000000000","43.19000","43.19","USD","","","43.19",""
"06/04/2022 14:08:03","UAWZHV48VA","AMD","Buy","0.009798637","102.05500","1.00","USD","","","1.00",""
